,precision,recall,f1-score,support
cushion,0.9980449657869013,0.9990215264187867,0.9985330073349633,1022.0
emerald,0.9985052316890882,0.9985052316890882,0.9985052316890882,669.0
heart,1.0,0.9959677419354839,0.997979797979798,744.0
oval,0.9992163009404389,1.0,0.999607996863975,1275.0
pear,0.9988193624557261,0.9988193624557261,0.9988193624557261,847.0
princess,0.9987212276214834,0.9961734693877551,0.9974457215836526,784.0
round,0.9990262901655307,0.9997563946406821,0.9993912090588092,4105.0
accuracy,0.9989413508363328,0.9989413508363328,0.9989413508363328,0.9989413508363328
macro avg,0.9989047683798812,0.9983205323610747,0.9986117609951447,9446.0
weighted avg,0.9989416792629706,0.9989413508363328,0.9989409547007058,9446.0
